,Quantile,Lift,Base,Model
0,1.0,1.875333145543975,1.0,randomforest
1,0.95,1.766283488504655,1.0,randomforest
2,0.9,1.680833496380356,1.0,randomforest
3,0.75,1.522173308230772,1.0,randomforest
4,0.65,1.459794418059983,1.0,randomforest
5,0.6,1.3827551034163568,1.0,randomforest
6,0.55,1.3597071949922586,1.0,randomforest
7,0.35,1.3131760535758386,1.0,randomforest
8,0.3,1.2320336712184163,1.0,randomforest
9,0.25,1.061072492552135,1.0,randomforest
10,0.1,1.0375375731773366,1.0,randomforest
11,0.05,1.0,1.0,randomforest
