,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
0,Vierge,NA,Vierge,NA,GB00092048,21 nov  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,484.0,192187, honoraires à la charge du vendeur,,, 1 ,,,,1.0,1.0,, 397,
1,143,C,25,D,VNMW1668,30 nov  2019 ,,Roubaix,Fresnoy - Mackellerie ,59100 ,1714.0,625000,  4, Gaz Individuel, 6, 9 ,1.0,,,1.0,1.0,, 350,1000.0
2,267,E,53,E,VM23257-IMMOTRAM2,5 dec  2019 ,,Roubaix,,59100,1152.0,399000,  5, gaz individuel, 7, 9 ,1.0, 2 ,,1.0,1.0,, 330,731.0
3,134,C,31,D,ROUB-350k-13857,30 nov  2019 ,,Roubaix,Sainte-Elisabeth ,59100 ,1061.0,350000,,, 5, 9 ,,,,,,, 330,
4,189,D,44,E,SO1641,23 oct  2019 ,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,1667.0,500000, honoraires à la charge du vendeur, radiateur gaz individuel, 7, 9 ,1.0, 2 ,,1.0,,, 300,650.0
5,En cours de réalisation,NA,En cours de réalisation,NA,24846238,,,Tourcoing,,59200,730.0,219000, honoraires à la charge du vendeur, ELECTRICITE INDIVIDUEL,, 3 ,1.0, 1 ,,,1.0,,,
6,159,D,,E,96746MX2220,13 dec  2019 ,5 nov  2019 ,Roubaix,,59100,1407.0,394000, honoraires à la charge du vendeur,, 5, 9 ,1.0, 1 ,,,1.0,, 280,500.0
7,Non soumis,NA,En cours de réalisation,NA,3904067,,13 dec  2019 ,Roubaix,Fosses aux Chênes - Alma Gare ,59100 ,941.0,254000, honoraires à la charge du vendeur, gaz,,,,,,,,, 270,
8,200,D,En cours de réalisation,NA,12423673,22 oct  2019 ,,Roubaix,,59100,1256.0,339000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 5, 9 ,1.0, 2 ,,,,,,
9,Vierge,NA,En cours de réalisation,NA,1111,6 dec  2019 ,6 nov  2019 ,Tourcoing,Centre-ville ,59200 ,1280.0,320000, honoraires à la charge du vendeur, gaz individuel, 5, 7 ,, 2 ,,,,, 250,
10,En cours de réalisation,NA,En cours de réalisation,NA,27657865,13 dec  2019 ,,Tourcoing,,59200,1340.0,335000, honoraires à la charge du vendeur, GAZ, 5, 6 ,1.0, 2 ,,1.0,1.0,,,
11,175,D,30,D,VM23878-IMMOTRAM2,5 dec  2019 ,23 nov  2019 ,Tourcoing,,59200,1460.0,380000,  4, gaz, 6, 7 ,, 3 ,,1.0,,, 250,
