,label,adress,energy1,energy1label,energy2,energy2label,pricesquare,informationlist
0,Publiée il y a plus de 1 mois | Modifiée le 21 nov. 2019 | Réf. de l’annonce : GB00092048,Tourcoing 59200 (Blanche Porte - Flocon),Vierge,NA,Vierge,NA,484 €/m²,"['Prix\u202f: 192 187 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '397 m²', '1 pièce', 'Travaux à prévoir', 'Exposé Ouest', 'Cave', '6 parkings extérieurs', '6 places de parking', 'Rez-de-chaussée', 'Mandat en exclusivité', 'Réf. de l’annonce : GB00092048', 'Publiée il y a plus de 1 mois', 'Modifiée le 21 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
1,Publiée il y a plus de 1 mois | Modifiée le 30 nov. 2019 | Réf. de l’annonce : VNMW1668,Roubaix 59100 (Fresnoy - Mackellerie),143,C,25,D,1 714 €/m²,"['Prix\u202f: 625 000 €, honoraires : 4,17% TTC inclus à la charge de l’acquéreur (600 000 € hors honoraires)', 'Estimez votre mensualité', '350 m²', '1 000 m² de terrain', '9 pièces', '6 chambres', 'Jardin', 'Chauffage : Gaz Individuel', 'Cave', '1 place de parking', '4 étages', 'Construit en 1931', 'Réf. de l’annonce : VNMW1668', 'Publiée il y a plus de 1 mois', 'Modifiée le 30 nov. 2019', 'Signaler une anomalie sur cette annonce']"
2,Publiée il y a plus de 1 mois | Modifiée le 5 déc. 2019 | Réf. de l’annonce : VM23257-IMMOTRAM2,Roubaix 59100,267,E,53,E,1 152 €/m²,"['Prix\u202f: 399 000 €, honoraires : 5,00% TTC inclus à la charge de l’acquéreur (380 000 € hors honoraires)', 'Estimez votre mensualité', '330 m²', '731 m² de terrain', '9 pièces', '7 chambres', 'Terrasse', 'Jardin', '2 garages', 'Exposé Ouest', 'Chauffage : gaz individuel', 'Cave', '2 salles de bain', '2 WC', '3 places de parking', '3 étages', 'Réf. de l’annonce : VM23257-IMMOTRAM2', 'Publiée il y a plus de 1 mois', 'Modifiée le 5 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
3,Publiée il y a plus de 1 mois | Modifiée le 30 nov. 2019 | Réf. de l’annonce : ROUB-350k-13857,Roubaix 59100 (Sainte-Elisabeth),134,C,31,D,1 061 €/m²,"['Prix\u202f: 350 000 €, honoraires à la charge de l’acquéreur', 'Estimez votre mensualité', '330 m²', '9 pièces', '5 chambres', 'Réf. de l’annonce : ROUB-350k-13857', 'Publiée il y a plus de 1 mois', 'Modifiée le 30 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
4,Publiée il y a plus de 1 mois | Modifiée le 23 oct. 2019 | Réf. de l’annonce : SO1641,Roubaix 59100 (Barbieux - Edouard Vaillant - Vauban),189,D,44,E,1 667 €/m²,"['Prix\u202f: 500 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '300 m²', '650 m² de terrain', '9 pièces', '7 chambres', 'Jardin', 'Exposé Sud', 'Chauffage : radiateur gaz individuel', 'Cave', '2 salles de bain', '2 salles d’eau', '3 WC', '2 étages', 'Réf. de l’annonce : SO1641', 'Publiée il y a plus de 1 mois', 'Modifiée le 23 oct. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
5,Publiée il y a plus de 1 mois | Réf. de l’annonce : 24846238,Tourcoing 59200,En cours de réalisation,NA,En cours de réalisation,NA,730 €/m²,"['Prix\u202f: 219 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '300 m²', '3 pièces', '1 terrasse', 'Jardin de 60 m²', 'Chauffage : ELECTRICITE INDIVIDUEL', '1 salle de bain', '1 WC', '1 parking intérieur', '1 box', 'Rez-de-chaussée', 'Réf. de l’annonce : 24846238', 'Publiée il y a plus de 1 mois', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
6,Publiée le 5 nov. 2019 | Modifiée le 13 déc. 2019 | Réf. de l’annonce : 96746MX2220,Roubaix 59100,159,D,,E,1 407 €/m²,"['Prix\u202f: 394 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '280 m²', '500 m² de terrain', '9 pièces', '5 chambres', 'Jardin', '2 garages', '1 salle de bain', '2 salles d’eau', '4 WC', '2 places de parking', '3 étages', 'Réf. de l’annonce : 96746MX2220', 'Publiée le 5 nov. 2019', 'Modifiée le 13 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
7,Publiée le 13 déc. 2019 | Réf. de l’annonce : 3904067,Roubaix 59100 (Fosses aux Chênes - Alma Gare),Non soumis,NA,En cours de réalisation,NA,941 €/m²,"['Prix\u202f: 254 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '270 m²', 'Chauffage : gaz', 'Réf. de l’annonce : 3904067', 'Publiée le 13 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
8,Publiée il y a plus de 1 mois | Modifiée le 22 oct. 2019 | Réf. de l’annonce : 12423673,Roubaix 59100,200,D,En cours de réalisation,NA,1 256 €/m²,"['Prix\u202f: 339 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '270 m²', '9 pièces', '5 chambres', '1 terrasse', 'Jardin de 26 m²', 'Chauffage : RADIATEUR GAZ INDIVIDUEL', '2 salles de bain', '2 WC', '1 box', 'Rez-de-chaussée', 'Construit en 2007', 'Interphone', 'Réf. de l’annonce : 12423673', 'Publiée il y a plus de 1 mois', 'Modifiée le 22 oct. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
9,Publiée le 6 nov. 2019 | Modifiée le 6 déc. 2019 | Réf. de l’annonce : 1111,Tourcoing 59200 (Centre-ville),Vierge,NA,En cours de réalisation,NA,1 280 €/m²,"['Prix\u202f: 320 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '250 m²', '7 pièces', '5 chambres', 'Chauffage : gaz individuel', '2 salles de bain', '1 salle d’eau', '4 WC', '2 étages', 'Réf. de l’annonce : 1111', 'Publiée le 6 nov. 2019', 'Modifiée le 6 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
