"","UserID","First_TransDate_Ca","Total_Stakes_Ca","Max_Stakes_Ca","Mean_Stakes_Ca","Total_Winnings_Ca","Max_Winnings_Ca","Mean_Winnings_Ca","Total_Bets_Ca","Length_Play_Ca","LastDay_Ca","No_Days_Played_Ca","No_Months_Played_Ca","Most_Played_Month_Ca","MostPlayed_Day_Ca","Stakes_Last_Day_Ca","Winnings_Last_Day_Ca","Bets_Last_Day_Ca","Profit_Ca"
"1",1324360,2005-02-03,4,4,4,2,2,2,4,0,2005-02-03,1,1,"2","Thursday",4,2,4,2
"2",1324363,2005-02-01,234,104,78,181.5,71.5,60.5,139,18,2005-02-19,3,1,"2","Friday",59,46,40,52.5
"3",1324368,2005-08-21,463.5,364.5,231.8,425.5,346,212.8,327,3,2005-08-24,2,1,"8","Sunday",99,79.5,86,38
"4",1324369,2005-03-01,760,618,152,742,619,148.4,603,63,2005-05-03,5,3,"3","Tuesday",3,1,3,18
"5",1324372,2005-09-17,2,2,2,2,2,2,12,0,2005-09-17,1,1,"9","Saturday",2,2,12,0
"6",1324377,2005-04-04,15,15,15,4,4,4,2,0,2005-04-04,1,1,"4","Monday",15,4,2,11
"7",1324379,2005-04-23,0.4,0.4499,0.4,0,0,0,1,0,2005-04-23,1,1,"4","Saturday",0.4499,0,1,0.4
"8",1324383,2005-06-05,5529.5,3334,1382.4,4892.5,2848,1223.1,168,7,2005-06-12,4,1,"6","Sunday",537.53,347.5,8,637
"9",1324386,2005-02-10,373.7,158,37.4,331.8,156,33.2,317,183,2005-08-12,10,5,"4","Wednesday",9,0,4,41.9
"10",1324400,2005-02-18,211.3,83.94,52.8,174.3,73.51,43.6,1339,20,2005-03-10,4,2,"3","Friday",55.6,40.62,376,37
"11",1324405,2005-07-30,2.6,1.4,0.9,1.4,1.2,0.5,26,49,2005-09-17,3,3,"7","Saturday",0.6,0.2,6,1.2
"12",1324408,2005-02-09,5643.7,1826.19,245.4,5187.1,1828.02,225.5,1785,83,2005-05-03,22,4,"3","Monday",2,0,2,456.599999999999
"13",1324432,2005-02-01,1,1,1,0,0,0,1,0,2005-02-01,1,1,"2","Tuesday",1,0,1,1
"14",1324466,2005-06-16,150.5,101,37.6,133,98.5,33.2,136,5,2005-06-21,4,1,"6","Friday",6,4,6,17.5
"15",1324492,2005-02-21,22.5,22.5,22.5,17.5,17.5,17.5,24,0,2005-02-21,1,1,"2","Monday",22.5,17.5,24,5
"16",1324495,2005-04-17,165,90,82.5,112.5,110,56.2,11,2,2005-04-19,2,1,"4","Sunday",75,2.5,4,52.5
"17",1324503,2005-02-02,11296.5,2191,403.4,10872,2031,388.3,708,144,2005-06-26,28,5,"3","Thursday",1254,1168,49,424.5
"18",1324509,2005-02-01,234.5,234.5,234.5,205.5,205.5,205.5,221,0,2005-02-01,1,1,"2","Tuesday",234.5,205.5,221,29
"19",1324527,2005-08-26,53.8,53.75,53.8,53.8,53.7759,53.8,9,0,2005-08-26,1,1,"8","Friday",53.75,53.7759,9,0
"20",1324533,2005-02-03,106,67,21.2,85.5,52,17.1,100,11,2005-02-14,5,1,"2","Friday",4,2.5,4,20.5
"21",1324537,2005-02-01,744,387,148.8,685.5,375.5,137.1,474,7,2005-02-08,5,1,"2","Tuesday",38,28,16,58.5
"22",1324540,2005-02-01,36,36,36,23,23,23,15,0,2005-02-01,1,1,"2","Tuesday",36,23,15,13
"23",1324583,2005-02-01,7,7,7,1,1,1,7,0,2005-02-01,1,1,"2","Tuesday",7,1,7,6
"24",1324586,2005-02-05,144,144,144,122,122,122,102,0,2005-02-05,1,1,"2","Saturday",144,122,102,22
"25",1324591,2005-02-02,367,119,36.7,344,118.5,34.4,229,232,2005-09-22,10,4,"2","Thursday",7,4,7,23
"26",1324607,2005-02-07,37378.5,23731,18689.2,36106,23952.5,18053,1347,1,2005-02-08,2,1,"2","Monday",23731,23952.5,659,1272.5
"27",1324615,2005-02-06,1201,880,300.2,1036,782.5,259,478,46,2005-03-24,4,2,"2","Monday",880,782.5,261,165
"28",1324624,2005-02-05,267.8,230,89.2,221.8,190,73.9,71,13,2005-02-18,3,1,"2","Friday",4.25,2.25,17,46
"29",1324625,2005-02-17,84,84,84,54,54,54,17,0,2005-02-17,1,1,"2","Thursday",84,54,17,30
"30",1324651,2005-02-01,77,77,77,47.5,47.5,47.5,12,0,2005-02-01,1,1,"2","Tuesday",77,47.5,12,29.5
"31",1324675,2005-02-01,2989,1469,597.8,2775,1231,555,75,21,2005-02-22,5,1,"2","Tuesday",57,0,1,214
"32",1324713,2005-02-02,11,11,11,11.5,11.5,11.5,11,0,2005-02-02,1,1,"2","Wednesday",11,11.5,11,-0.5
