"","UserID","First_TransDate_Ga","Total_Stakes_Ga","Max_Stakes_Ga","Mean_Stakes_Ga","Total_Winnings_Ga","Max_Winnings_Ga","Mean_Winnings_Ga","Total_Bets_Ga","Length_Play_Ga","LastDay_Ga","No_Days_Played_Ga","No_Months_Played_Ga","Most_Played_Month_Ga","MostPlayed_Day_Ga","Stakes_Last_Day_Ga","Winnings_Last_Day_Ga","Bets_Last_Day_Ga","Profit_Ga"
"1",1324368,2005-08-21,1,1,1,0,0,0,1,0,2005-08-21,1,1,"8","Sunday",1,0,1,1
"2",1324369,2005-02-15,10.8,8.8496,3.6,4.9,4.8968,1.6,9,16,2005-03-03,3,2,"2","Saturday",8.8496,4.8968,7,5.9
"3",1324372,2005-09-01,18.6,16.5742,9.3,18.1,16.7851,9,19,1,2005-09-02,2,1,"9","Friday",16.5742,16.7851,17,0.5
"4",1324379,2005-04-19,1009.6,245.93,84.1,938.3,247.1625,78.2,425,133,2005-08-30,12,4,"8","Saturday",56,42,14,71.3000000000001
"5",1324383,2005-06-09,22.1,22.1043,22.1,2,2.0374,2,6,0,2005-06-09,1,1,"6","Thursday",22.1043,2.0374,6,20.1
"6",1324386,2005-04-27,273.5,248.3089,34.2,228.4,214.6802,28.5,143,156,2005-09-30,8,4,"8","Friday",20.2483,9.901,27,45.1
"7",1324405,2005-02-22,112.3,72.09,16,111.2,68.98,15.9,106,160,2005-08-01,7,4,"2","Saturday",1,0.59,2,1.09999999999999
"8",1324408,2005-02-26,3,2,1.5,0.5,0.5,0.2,3,1,2005-02-27,2,1,"2","Saturday",2,0,1,2.5
"9",1324418,2005-02-15,1.2,1.1547,1.2,1.2,1.1547,1.2,1,0,2005-02-15,1,1,"2","Tuesday",1.1547,1.1547,1,0
"10",1324432,2005-02-01,31.9,19.6305,8,19.9,16.1663,5,23,6,2005-02-07,4,1,"2","Monday",4.6189,0,2,12
"11",1324437,2005-02-04,885.6,627,110.7,737.1,493.5,92.1,232,13,2005-02-17,8,1,"2","Friday",3.4642,4.2032,3,148.5
"12",1324454,2005-02-07,1132.7,273.54,36.5,896.5,253.17,28.9,611,34,2005-03-13,21,2,"2","Monday",78.5,74.09,54,236.2
"13",1324492,2005-02-04,138.4,63.19,34.6,86.5,54.2,21.6,132,17,2005-02-21,4,1,"2","Friday",42.25,14.25,40,51.9
"14",1324495,2005-03-14,3,3,3,0,0,0,1,0,2005-03-14,1,1,"3","Monday",3,0,1,3
"15",1324527,2005-08-11,5.5,5.5,5.5,4.5,4.5375,4.5,2,0,2005-08-11,1,1,"8","Thursday",5.5,4.5375,2,1
"16",1324583,2005-02-01,52.4,52.4165,52.4,28.2,28.2243,28.2,8,0,2005-02-01,1,1,"2","Tuesday",52.4165,28.2243,8,24.2
"17",1324615,2005-03-02,795,367,132.5,652.7,307.98,108.8,362,22,2005-03-24,5,1,"3","Sunday",367,307.98,172,142.3
"18",1324624,2005-02-06,354.5,161,59.1,265.9,147.52,44.3,262,13,2005-02-19,6,1,"2","Friday",3.5,1.5,6,88.6
"19",1324644,2005-05-20,45.3,42.29,22.6,17.3,13.39,8.6,12,0,2005-05-20,1,1,"5","Friday",45.29,17.29,12,28
"20",1324662,2005-06-10,1,1,1,0,0,0,1,0,2005-06-10,1,1,"6","Friday",1,0,1,1
"21",1324708,2005-02-07,31.5,3.3,1,26,2.7225,0.8,67,121,2005-06-08,32,5,"3","Tuesday",0.5,0.4125,1,5.5
"22",1324732,2005-02-02,263,195,131.5,243,205.25,121.5,519,1,2005-02-03,2,1,"2","Thursday",68,37.75,136,20
"23",1324749,2005-04-18,9,9,9,4,4,4,9,0,2005-04-18,1,1,"4","Monday",9,4,9,5
"24",1324757,2005-02-09,71.5,71.5,71.5,11.6,11.55,11.6,14,0,2005-02-09,1,1,"2","Wednesday",71.5,11.55,14,59.9
"25",1324782,2005-02-15,11.5,8,5.8,3.6,2,1.8,13,2,2005-02-17,2,1,"2","Thursday",3.5,1.56,5,7.9
"26",1324803,2005-06-07,3608.6,1799.84,164,3345.6,1622.842,152.1,2202,85,2005-08-31,16,3,"6","Wednesday",15.4914,3.4887,5,263
"27",1324808,2005-07-23,517.5,517.4856,517.5,483,482.994,483,522,0,2005-07-23,1,1,"7","Saturday",517.4856,482.994,522,34.5
"28",1324866,2005-06-15,8.1,1.5,0.8,6.8,1.2375,0.7,35,28,2005-07-13,10,2,"6","Monday",0.8,0.74,8,1.3
"29",1324868,2005-05-05,913.8,843.9217,304.6,739.6,696.0227,246.5,137,3,2005-05-08,2,1,"5","Thursday",69.7591,43.4509,17,174.2
"30",1324883,2005-02-02,552.5,149.5,30.7,390.2,143,21.7,951,197,2005-08-18,17,4,"2","Saturday",36.5,26.75,66,162.3
"31",1324890,2005-02-05,415.5,184,69.2,352,187,58.7,393,15,2005-02-20,6,1,"2","Thursday",46.5,25.75,52,63.5
"32",1324935,2005-06-16,44,30.5,22,39,29.95,19.5,49,70,2005-08-25,2,2,"6","Thursday",13.5,9,23,5
"33",1325024,2005-04-30,6.4,3.2,2.1,5.3,2.64,1.8,3,7,2005-05-07,3,2,"5","Saturday",1.6,1.32,1,1.1
"34",1325027,2005-06-26,53.4,28.95,4.4,36.8,16,3.1,26,61,2005-08-26,12,3,"7","Monday",3.2,2.64,1,16.6
"35",1325077,2005-02-01,3.7,3.2,1.8,3.4,2.96,1.7,2,6,2005-02-07,2,1,"2","Monday",0.5,0.4125,1,0.3
"36",1325080,2005-02-04,1077,427,59.8,830.9,240.2,46.2,195,93,2005-05-08,17,3,"2","Saturday",24,19.8,1,246.1
"37",1325106,2005-04-19,38.9,17.4492,13,39,13.8171,13,26,11,2005-04-30,3,1,"4","Saturday",14.0936,12.5661,14,-0.100000000000001
"38",1325126,2005-07-02,119.5,101.46,39.8,90.3,82.28,30.1,109,4,2005-07-06,2,1,"7","Saturday",101.46,82.28,91,29.2
"39",1325148,2005-06-15,138.4,79.75,23.1,96.7,61.04,16.1,108,52,2005-08-06,6,3,"7","Friday",0.5,0,1,41.7
"40",1325165,2005-03-02,3649.4,1432.07,331.8,3179,1242.7,289,675,184,2005-09-02,10,3,"3","Wednesday",0.5,0,1,470.4
"41",1325187,2005-02-08,1306.6,282.91,65.3,1128.9,243.9595,56.4,1305,212,2005-09-08,19,5,"3","Thursday",52.16,17.16,9,177.7
"42",1325200,2005-02-17,85.7,79.9356,42.9,40.1,35.3204,20.1,20,176,2005-08-12,2,2,"2","Friday",79.9356,35.3204,15,45.6
"43",1325215,2005-09-24,16.8,13.4077,5.6,20.5,14.7619,6.8,11,5,2005-09-29,3,1,"9","Saturday",1.3408,0,2,-3.7
"44",1325243,2005-08-01,0.5,0.5,0.5,0,0,0,1,0,2005-08-01,1,1,"8","Monday",0.5,0,1,0.5
"45",1325249,2005-05-01,637.2,628.2409,212.4,587.1,584.874,195.7,142,7,2005-05-08,3,1,"5","Sunday",628.2409,584.874,130,50.1
"46",1325253,2005-02-01,58,51.5,29,48.4,46.9,24.2,86,1,2005-02-02,2,1,"2","Tuesday",6.5,1.5,13,9.6
"47",1325257,2005-02-01,10,10,10,0,0,0,1,0,2005-02-01,1,1,"2","Tuesday",10,0,1,10
"48",1325285,2005-02-09,10,10,10,0,0,0,3,0,2005-02-09,1,1,"2","Wednesday",10,0,3,10
"49",1325300,2005-03-30,437.5,437.5168,437.5,409.8,409.7635,409.8,43,0,2005-03-30,1,1,"3","Wednesday",437.5168,409.7635,43,27.7
"50",1325301,2005-03-10,30.7,28.9085,10.2,23.6,23.5575,7.9,16,3,2005-03-13,3,1,"3","Friday",28.9085,23.5575,13,7.1
"51",1325318,2005-02-18,122.2,71.5,40.7,76.3,44.5742,25.4,49,194,2005-08-31,2,2,"2","Friday",71.5,31.75,45,45.9
"52",1325337,2005-02-05,429.9,282,35.8,403.3,282.14,33.6,321,237,2005-09-30,12,4,"7","Friday",1.6,1.32,1,26.6
"53",1325367,2005-02-03,7.5,7.5,7.5,5.5,5.45,5.5,13,0,2005-02-03,1,1,"2","Thursday",7.5,5.45,13,2
"54",1325381,2005-03-08,42.3,40.3116,21.2,33.9,30.9056,17,17,0,2005-03-08,1,1,"3","Tuesday",42.3116,33.9056,17,8.4
