"","UserID","First_TransDate_Sp","Total_Stakes_Sp","Max_Stakes_Sp","Mean_Stakes_Sp","Total_Winnings_Sp","Max_Winnings_Sp","Mean_Winnings_Sp","Total_Bets_Sp","Length_Play_Sp","LastDay_Sp","No_Days_Played_Sp","No_Months_Played_Sp","Most_Played_Month_Sp","MostPlayed_Day_Sp","Stakes_Last_Day_Sp","Winnings_Last_Day_Sp","Bets_Last_Day_Sp"
"1",1324354,2005-02-24,11976.6,680,88.1,11736.6,832.26,86.3,279,218,2005-09-30,118,8,"4","Saturday",14.41,344.41,1
"2",1324355,2005-02-01,425.6,32.53,4,464.5,92.53,4.4,252,240,2005-09-29,101,7,"2","Wednesday",5,0,5
"3",1324356,2005-02-02,1365.3,150,18.2,910.7,144.98,12.1,214,222,2005-09-12,54,5,"2","Saturday",0.5,0,1
"4",1324358,2005-02-01,336.3,88.5927,37.4,209.9,63.8563,23.3,11,94,2005-05-06,8,2,"5","Tuesday",63.9172,0,1
"5",1324360,2005-02-02,61.7,12.8505,2,41.2,9.7284,1.3,43,235,2005-09-25,29,4,"2","Saturday",0,0,0
"6",1324362,2005-02-11,22,5,3.1,0,0,0,7,218,2005-09-17,7,2,"9","Saturday",3,0,1
"7",1324363,2005-02-01,41.5,27.2835,13.8,0,0,0,3,21,2005-02-22,3,1,"2","Tuesday",0.8064,0,1
"8",1324364,2005-02-03,295,48,13.4,43.1,27.75,2,48,237,2005-09-28,20,4,"2","Sunday",4,0,2
"9",1324368,2005-03-18,8120.2,486.93,61.1,8006.6,807.55,60.2,477,163,2005-08-28,93,6,"4","Saturday",0,0,0
"10",1324369,2005-02-01,255.5,22.8964,3.3,167.4,20.3926,2.1,203,94,2005-05-06,46,4,"2","Wednesday",0,0,0
"11",1324372,2005-03-04,603.1,48.4669,8.3,567.3,50.619,7.8,395,198,2005-09-18,46,3,"3","Saturday",0.8362,0,1
"12",1324377,2005-02-01,16.8,7.3921,4.2,6.7,4.6637,1.7,12,3,2005-02-04,3,1,"2","Thursday",0,2.016,0
"13",1324378,2005-02-01,80,50,8.9,0,0,0,12,102,2005-05-14,8,2,"2","Saturday",0,0,0
"14",1324379,2005-03-12,6763.2,156,31.5,5927.8,201.75,27.6,1308,202,2005-09-30,136,7,"9","Saturday",28,0,5
"15",1324383,2005-05-12,1189.3,631.5524,297.3,3031.3,2419.4973,757.8,4,31,2005-06-12,4,2,"5","Friday",631.5524,611.8164,2
"16",1324385,2005-02-01,4721.6,1538.78,277.7,6325,1714.02,372.1,22,89,2005-05-01,17,4,"4","Saturday",0,1714.02,0
"17",1324386,2005-02-09,10980,786.9715,94.7,10990.3,776.4094,94.7,436,232,2005-09-29,69,7,"8","Wednesday",21.7616,10.3473,3
"18",1324393,2005-02-01,378.4,43.246,6.9,313.4,43.8668,5.7,254,86,2005-04-28,55,3,"2","Friday",0,0,0
"19",1324396,2005-02-08,325.8,37.5,20.4,300.8,45,18.8,42,16,2005-02-24,16,1,"2","Thursday",24.25,0,4
"20",1324400,2005-02-01,1225,130,31.4,1147,132,29.4,63,57,2005-03-30,39,2,"2","Thursday",0,0,0
"21",1324402,2005-02-01,100,50,16.7,0,0,0,9,11,2005-02-12,6,1,"2","Saturday",0,0,0
"22",1324403,2005-02-01,635.8,123.35,14.4,865.4,209.7,19.7,229,123,2005-06-04,43,5,"2","Saturday",0,209.7,0
"23",1324404,2005-02-01,40399.7,2144,129.9,36793.8,2676.5,118.3,2018,241,2005-09-30,212,8,"5","Sunday",23.9,24.4,14
"24",1324405,2005-02-20,115,8.65,1.5,113.7,11.81,1.5,149,218,2005-09-26,63,7,"3","Sunday",0,1.31,0
"25",1324408,2005-02-08,416.8,38,5.7,246.1,40.5,3.4,289,224,2005-09-20,54,6,"2","Tuesday",1.14,0,3
"26",1324411,2005-02-16,120,76,40,72.6,72.6,24.2,2,2,2005-02-18,3,1,"2","Friday",0,72.6,0
"27",1324413,2005-02-08,1921.3,300,34.3,1230.8,244.2,22,248,89,2005-05-08,56,4,"3","Saturday",0.02,0,1
"28",1324416,2005-02-01,9021.2,1018.67,63.5,7321.2,903.67,51.6,1587,167,2005-07-18,95,6,"3","Wednesday",46,26,5
"29",1324418,2005-02-04,129.9,18.4758,6.8,72.6,20.1789,3.8,119,19,2005-02-23,13,1,"2","Friday",0,0,0
"30",1324419,2005-02-01,23738.7,1513,237.4,25109.9,2631.75,251.1,344,233,2005-09-22,79,5,"8","Saturday",0,0,0
"31",1324420,2005-02-01,122.5,33,5.8,103.4,35.95,4.9,42,57,2005-03-30,21,2,"2","Saturday",0,0,0
"32",1324421,2005-02-03,78.2,11.5,4.6,48.2,21.5,2.8,14,45,2005-03-20,16,2,"2","Sunday",0,0,0
"33",1324424,2005-02-02,138.6,30,7.3,28.6,10.8,1.5,23,221,2005-09-11,19,4,"3","Friday",0,0,0
"34",1324427,2005-02-08,192.9,45,13.8,148,79.77,10.6,18,31,2005-03-11,14,2,"2","Saturday",2,0,1
"35",1324429,2005-02-04,40,10,5,0,0,0,4,43,2005-03-19,8,2,"2","Friday",0,0,0
"36",1324432,2005-02-01,55.4,27.0901,5.5,40,10.3926,4,45,106,2005-05-18,10,2,"2","Sunday",0,0,0
"37",1324433,2005-02-05,5.5,2.8868,0.9,0,0,0,7,12,2005-02-17,6,1,"2","Friday",0,0,0
"38",1324434,2005-02-03,132,22,4.6,102.7,12.3,3.5,67,191,2005-08-13,27,5,"2","Saturday",3,6.3,1
"39",1324437,2005-02-02,3195.3,476.2926,59.2,2915.4,554.193,54,458,235,2005-09-25,35,3,"2","Saturday",255.4255,176.7367,28
"40",1324438,2005-02-02,1118.7,82,10.4,1131.2,141.4,10.5,152,206,2005-08-27,104,7,"6","Sunday",1.8,0,1
"41",1324441,2005-03-11,30,10,3,37,9.25,3.7,6,29,2005-04-09,10,2,"3","Saturday",0,6.25,0
"42",1324442,2005-02-01,52,12.55,5.8,43,25.16,4.8,19,98,2005-05-10,7,2,"2","Tuesday",5,0,1
"43",1324443,2005-02-13,493.9,32,7.2,394.7,49.5,5.7,127,202,2005-09-03,69,7,"8","Saturday",0,0,0
"44",1324444,2005-02-01,1255.3,156.5,18.5,1052.3,154.03,15.5,728,225,2005-09-14,56,6,"2","Monday",0,4.4,0
"45",1324446,2005-02-03,4.6,1.1547,0.5,0,0,0,8,14,2005-02-17,10,1,"2","Friday",0,0,0
"46",1324448,2005-02-02,11.5,11.5145,5.8,5.4,5.3734,2.7,3,1,2005-02-03,2,1,"2","Thursday",0,0,0
"47",1324449,2005-02-04,15883.5,1109,47.4,14548.5,1044,43.4,1010,238,2005-09-30,221,8,"4","Saturday",40.6,0,3
"48",1324454,2005-02-01,517.8,50,11,385.6,80.86,8.2,468,41,2005-03-14,34,2,"2","Monday",8,0,8
"49",1324455,2005-02-09,68.7,42.16,17.2,58.7,45.1,14.7,6,2,2005-02-11,3,1,"2","Thursday",0,0,0
"50",1324456,2005-02-03,383.6,110.9,38.4,288.6,84.27,28.9,40,232,2005-09-23,9,2,"9","Sunday",102.83,84.27,7
"51",1324459,2005-02-04,10,3,1.7,0,0,0,5,12,2005-02-16,6,1,"2","Tuesday",0,0,0
"52",1324460,2005-02-04,172.5,12.5,5.1,157.8,18.88,4.6,69,233,2005-09-25,34,6,"4","Saturday",0,4.13,0
"53",1324461,2005-04-25,150.2,61,18.8,80.2,39.6,10,12,29,2005-05-24,8,2,"4","Tuesday",0.24,0,1
"54",1324465,2005-02-03,1086.8,55.4,5,891.5,58.75,4.1,1381,239,2005-09-30,184,8,"9","Friday",13.95,0,27
"55",1324470,2005-02-05,72.2,15,5.6,47.6,18.35,3.7,23,115,2005-05-31,9,3,"2","Tuesday",3,0,1
"56",1324471,2005-02-01,154.5,13,4,134.6,41.13,3.5,48,239,2005-09-28,39,5,"2","Wednesday",2,0,1
"57",1324473,2005-02-01,93.8,25,9.4,63.8,17.25,6.4,23,15,2005-02-16,10,1,"2","Wednesday",0,0,0
"58",1324474,2005-06-03,131.6,29.1,13.2,71.6,44.1,7.2,21,14,2005-06-17,8,1,"6","Friday",10,0,2
"59",1324475,2005-06-09,32.7,4.5,0.7,25.2,3.38,0.5,53,112,2005-09-29,44,4,"7","Saturday",1,0,1
"60",1324476,2005-03-04,1299.2,177.22,11.7,1209.2,191.12,10.9,257,179,2005-08-30,94,6,"6","Tuesday",2,0,1
"61",1324477,2005-02-04,1826.3,120,26.9,1711.1,138.75,25.2,294,131,2005-06-15,68,5,"4","Saturday",30,38.5,2
"62",1324479,2005-02-08,311.8,31,8.7,265.8,46.28,7.4,167,233,2005-09-29,35,4,"2","Sunday",3.83,0,5
"63",1324482,2005-02-04,288.5,20,5.1,294,61.06,5.2,362,231,2005-09-23,57,4,"2","Friday",3.5,0,7
"64",1324483,2005-02-01,40,10,4,25.2,17.25,2.5,8,113,2005-05-25,10,4,"2","Wednesday",0,0,0
"65",1324484,2005-02-03,2054,134.5,19.7,2297.4,267.51,22.1,154,230,2005-09-21,89,8,"3","Tuesday",1,0,1
"66",1324489,2005-02-01,20,20,10,0,0,0,1,4,2005-02-05,2,1,"2","Saturday",0,0,0
